sort,synbiome
1,Rock and Ice
2,Tundra
3,Boreal/Subalpine Forest
4,Temperate Coniferous Forest
5,Temperate Mixed Forest
6,Temperate Deciduous Forest
7,Temperate Oak Forest
8,Temperate Pine Forest
9,Tallgrass Prairie
10,Temperate Grassland
11,Cool Xeric Woodland
12,Cool Desert
13,Salt Desert
14,Subtropical Mixed Forest
15,Warm Xeric Woodland
16,Chaparral
17,Semidesert Grassland
18,Warm Desert
19,Montane Grassland
20,Tropical Montane Forest
21,Tropical Moist Forest
22,Tropical Semi-evergreen Forest
23,Tropical Pine Forest
24,Tropical Dry Forest
25,Tropical/Subtropical Savanna
26,Tropical/Subtropical Thornscrub
27,Cool Swamp
28,Warm Swamp
29,Freshwater Marsh
30,Salt Marsh
31,Mangroves
